[0.0520683 0.9479317]
[0.3276456 0.6723544]
[0.2542391 0.7457609]
[0.4621341 0.5378659]
[0.16151648 0.83848352]
[0.15565354 0.84434646]
[0.02256054 0.97743946]
[0.2653671 0.7346329]
[0.38982756 0.61017244]
[0.16186926 0.83813074]
[0.32144785 0.67855215]
[0.30676046 0.69323954]
[0.03324486 0.96675514]
[0.11584754 0.88415246]
[0.19659515 0.80340485]
[0.03704894 0.96295106]
[0.31756986 0.68243014]
[0.07902351 0.92097649]
[0.40506024 0.59493976]
[0.19592212 0.80407788]
[0.22014558 0.77985442]
[0.15229593 0.84770407]
[0.26390746 0.73609254]
[0.2538845 0.7461155]
[0.39380897 0.60619103]
[0.42104296 0.57895704]
[0.47413413 0.52586587]
[0.33037642 0.66962358]
[0.48937054 0.51062946]
[0.35891892 0.64108108]
[0.37291765 0.62708235]
[0.44845467 0.55154533]
[0.4995773 0.5004227]
[0.19730616 0.80269384]
[0.42013717 0.57986283]
[0.41030863 0.58969137]
[0.39808368 0.60191632]
[0.07519987 0.92480013]
[0.4328496 0.5671504]
[0.31121034 0.68878966]
[0.41406774 0.58593226]
[0.14209657 0.85790343]
[0.1419686 0.8580314]
[0.21097542 0.78902458]
[0.41232972 0.58767028]
[0.4760561 0.5239439]
[0.49068521 0.50931479]
[0.25181716 0.74818284]
[0.1226639 0.8773361]
[0.17672454 0.82327546]
[0.188001 0.811999]
[0.37359054 0.62640946]
[0.39108741 0.60891259]
[0.29197423 0.70802577]
[0.23878693 0.76121307]
[0.21891712 0.78108288]
[0.31052793 0.68947207]
[0.06979351 0.93020649]
[0.0125015 0.9874985]
[0.297343 0.702657]
[0.29760612 0.70239388]
[0.17286037 0.82713963]
[0.37838877 0.62161123]
[0.21283373 0.78716627]
[0.31922943 0.68077057]
[0.38449707 0.61550293]
[0.41980867 0.58019133]
[0.09789784 0.90210216]
[0.30210653 0.69789347]
[0.44108333 0.55891667]
[0.27488077 0.72511923]
[0.14519081 0.85480919]
[0.22987999 0.77012001]
[0.48397568 0.51602432]
[0.23178131 0.76821869]
[0.24662101 0.75337899]
[0.15384373 0.84615627]
[0.27444283 0.72555717]
[0.2868648 0.7131352]
[0.34368548 0.65631452]
[0.33954101 0.66045899]
[0.2484737 0.7515263]
[0.27415867 0.72584133]
[0.42327768 0.57672232]
[0.25632205 0.74367795]
[0.46247004 0.53752996]
[0.16587934 0.83412066]
[0.33982364 0.66017636]
[0.161521 0.838479]
[0.02857145 0.97142855]
[0.16702946 0.83297054]
[0.22023625 0.77976375]
[0.29305513 0.70694487]
[0.06776144 0.93223856]
[0.12098236 0.87901764]
[0.18316239 0.81683761]
[0.07710187 0.92289813]
[0.21022549 0.78977451]
[0.1791414 0.8208586]
[0.38548062 0.61451938]
[0.46720276 0.53279724]
[0.36690359 0.63309641]
[0.46003844 0.53996156]
[0.19154448 0.80845552]
[0.42375216 0.57624784]
[0.4724085 0.5275915]
[0.24723064 0.75276936]
[0.43098761 0.56901239]
[0.14528204 0.85471796]
[0.43495849 0.56504151]
[0.3911349 0.6088651]
[0.35321868 0.64678132]
[0.41554058 0.58445942]
[0.35401287 0.64598713]
[0.0915741 0.9084259]
[0.29931634 0.70068366]
[0.24565327 0.75434673]
[0.11710393 0.88289607]
[0.17727961 0.82272039]
[0.44435565 0.55564435]
[0.13366042 0.86633958]
[0.31952909 0.68047091]
[0.20945 0.79055]
[0.24745395 0.75254605]
[0.06819877 0.93180123]
[0.41776282 0.58223718]
[0.02534833 0.97465167]
[0.20065513 0.79934487]
[0.21835177 0.78164823]
[0.06600798 0.93399202]
[0.2328893 0.7671107]
[0.53005283 0.46994717]
[0.41652801 0.58347199]
[0.31092354 0.68907646]
[0.51115093 0.48884907]
[0.3515409 0.6484591]
[0.16152907 0.83847093]
[0.35337704 0.64662296]
[0.45869375 0.54130625]
[0.50401842 0.49598158]
[0.17627975 0.82372025]
[0.34313799 0.65686201]
[0.42692347 0.57307653]
[0.21163096 0.78836904]
[0.0740288 0.9259712]
[0.42392838 0.57607162]
[0.49741743 0.50258257]
[0.06845241 0.93154759]
[0.30341437 0.69658563]
[0.32194755 0.67805245]
[0.033039 0.966961]
[0.19360622 0.80639378]
