[ 0.03140956  0.96859044]
[ 0.32267478  0.67732522]
[ 0.22895559  0.77104441]
[ 0.41057595  0.58942405]
[ 0.1359739  0.8640261]
[ 0.13908174  0.86091826]
[ 0.00778915  0.99221085]
[ 0.25735983  0.74264017]
[ 0.36114191  0.63885809]
[ 0.13309504  0.86690496]
[ 0.300375  0.699625]
[ 0.29502949  0.70497051]
[ 0.00822361  0.99177639]
[ 0.10602135  0.89397865]
[ 0.19001183  0.80998817]
[ 0.03089697  0.96910303]
[ 0.32128405  0.67871595]
[ 0.05197638  0.94802362]
[ 0.40721452  0.59278548]
[ 0.19912823  0.80087177]
[ 0.17137004  0.82862996]
[ 0.13714318  0.86285682]
[ 0.2467268  0.7532732]
[ 0.23713046  0.76286954]
[ 0.38724564  0.61275436]
[ 0.42299286  0.57700714]
[ 0.47513523  0.52486477]
[ 0.32384274  0.67615726]
[ 0.48449945  0.51550055]
[ 0.35573617  0.64426383]
[ 0.36563105  0.63436895]
[ 0.44899155  0.55100845]
[ 0.49857136  0.50142864]
[ 0.19269159  0.80730841]
[ 0.43766435  0.56233565]
[ 0.277235  0.722765]
[ 0.39935738  0.60064262]
[ 0.0329558  0.9670442]
[ 0.43149796  0.56850204]
[ 0.32086067  0.67913933]
[ 0.41372612  0.58627388]
[ 0.13283301  0.86716699]
[ 0.13032348  0.86967652]
[ 0.20449455  0.79550545]
[ 0.4103598  0.5896402]
[ 0.42408157  0.57591843]
[ 0.48283025  0.51716975]
[ 0.24411197  0.75588803]
[ 0.10692979  0.89307021]
[ 0.17030108  0.82969892]
[ 0.19270369  0.80729631]
[ 0.35229571  0.64770429]
[ 0.38815393  0.61184607]
[ 0.28939365  0.71060635]
[ 0.23083664  0.76916336]
[ 0.21062751  0.78937249]
[ 0.30325614  0.69674386]
[ 0.0512052  0.9487948]
[ 0.00688566  0.99311434]
[ 0.22105675  0.77894325]
[ 0.29252449  0.70747551]
[ 0.16469912  0.83530088]
[ 0.37577939  0.62422061]
[ 0.1882472  0.8117528]
[ 0.30946995  0.69053005]
[ 0.38305929  0.61694071]
[ 0.42106779  0.57893221]
[ 0.09813331  0.90186669]
[ 0.26782482  0.73217518]
[ 0.43723729  0.56276271]
[ 0.27724062  0.72275938]
[ 0.13855374  0.86144626]
[ 0.22138948  0.77861052]
[ 0.48716573  0.51283427]
[ 0.21899741  0.78100259]
[ 0.2173846  0.7826154]
[ 0.14838733  0.85161267]
[ 0.27423588  0.72576412]
[ 0.2657223  0.7342777]
[ 0.34073855  0.65926145]
[ 0.34408479  0.65591521]
[ 0.24076997  0.75923003]
[ 0.26796117  0.73203883]
[ 0.40994429  0.59005571]
[ 0.24237171  0.75762829]
