[ 0.04608543  0.95391457]
[ 0.32660747  0.67339253]
[ 0.24669362  0.75330638]
[ 0.41344252  0.58655748]
[ 0.15700803  0.84299197]
[ 0.14661265  0.85338735]
[ 0.01259843  0.98740157]
[ 0.26320701  0.73679299]
[ 0.38210454  0.61789546]
[ 0.15177239  0.84822761]
[ 0.3095807  0.6904193]
[ 0.30072658  0.69927342]
[ 0.03442681  0.96557319]
[ 0.10798616  0.89201384]
[ 0.19364626  0.80635374]
[ 0.03385479  0.96614521]
[ 0.31936364  0.68063636]
[ 0.06972539  0.93027461]
[ 0.40411496  0.59588504]
[ 0.19508231  0.80491769]
[ 0.21402415  0.78597585]
[ 0.14962554  0.85037446]
[ 0.2544237  0.7455763]
[ 0.24673714  0.75326286]
[ 0.38982057  0.61017943]
[ 0.42111302  0.57888698]
[ 0.47550783  0.52449217]
[ 0.32674667  0.67325333]
[ 0.48833052  0.51166948]
[ 0.35647766  0.64352234]
[ 0.36568282  0.63431718]
[ 0.44684733  0.55315267]
[ 0.50060135  0.49939865]
[ 0.1845338  0.8154662]
[ 0.41954134  0.58045866]
[ 0.34343874  0.65656126]
[ 0.39730697  0.60269303]
[ 0.05118437  0.94881563]
[ 0.42785777  0.57214223]
[ 0.31305756  0.68694244]
[ 0.41151186  0.58848814]
[ 0.13676755  0.86323245]
[ 0.13672917  0.86327083]
[ 0.20622147  0.79377853]
[ 0.41096132  0.58903868]
[ 0.45932416  0.54067584]
[ 0.48923903  0.51076097]
[ 0.2467618  0.7532382]
[ 0.11269013  0.88730987]
[ 0.17399816  0.82600184]
[ 0.18681535  0.81318465]
[ 0.36446391  0.63553609]
[ 0.38473205  0.61526795]
[ 0.28996484  0.71003516]
[ 0.23402413  0.76597587]
[ 0.21364048  0.78635952]
[ 0.30692732  0.69307268]
[ 0.06407135  0.93592865]
[ 0.00949698  0.99050302]
[ 0.35266636  0.64733364]
[ 0.29460998  0.70539002]
[ 0.16662202  0.83337798]
[ 0.37577459  0.62422541]
[ 0.20504219  0.79495781]
[ 0.31398719  0.68601281]
[ 0.38513437  0.61486563]
[ 0.41525573  0.58474427]
[ 0.09752223  0.90247777]
[ 0.32370684  0.67629316]
[ 0.43839676  0.56160324]
[ 0.27270203  0.72729797]
[ 0.14223268  0.85776732]
