[ 0.0501747  0.9498253]
[ 0.32634804  0.67365196]
[ 0.24992339  0.75007661]
[ 0.42919305  0.57080695]
[ 0.15982966  0.84017034]
[ 0.14992214  0.85007786]
[ 0.01793925  0.98206075]
[ 0.26368477  0.73631523]
[ 0.38394924  0.61605076]
[ 0.15623199  0.84376801]
[ 0.31393302  0.68606698]
[ 0.30351593  0.69648407]
[ 0.0470502  0.9529498]
[ 0.11179044  0.88820956]
[ 0.19478727  0.80521273]
[ 0.03479238  0.96520762]
[ 0.31779492  0.68220508]
[ 0.0740219  0.9259781]
[ 0.40415358  0.59584642]
[ 0.19561438  0.80438562]
[ 0.21406815  0.78593185]
[ 0.15089522  0.84910478]
[ 0.25566651  0.74433349]
[ 0.24892721  0.75107279]
[ 0.39302174  0.60697826]
[ 0.4206794  0.5793206]
[ 0.4745542  0.5254458]
[ 0.32900909  0.67099091]
[ 0.48927797  0.51072203]
[ 0.35790326  0.64209674]
[ 0.36685254  0.63314746]
[ 0.44740034  0.55259966]
[ 0.50010637  0.49989363]
[ 0.19082669  0.80917331]
[ 0.40768234  0.59231766]
[ 0.31672405  0.68327595]
[ 0.37837141  0.62162859]
[ 0.07017231  0.92982769]
[ 0.43030812  0.56969188]
[ 0.31251609  0.68748391]
[ 0.41311574  0.58688426]
[ 0.13915996  0.86084004]
[ 0.13905972  0.86094028]
[ 0.20813645  0.79186355]
[ 0.410813  0.589187]
[ 0.46801419  0.53198581]
[ 0.4896791  0.5103209]
[ 0.24440266  0.75559734]
[ 0.11595256  0.88404744]
[ 0.17779814  0.82220186]
[ 0.18778718  0.81221282]
[ 0.36841681  0.63158319]
[ 0.38963102  0.61036898]
[ 0.28989833  0.71010167]
[ 0.23527139  0.76472861]
[ 0.21585529  0.78414471]
[ 0.30272514  0.69727486]
[ 0.06555877  0.93444123]
[ 0.01063513  0.98936487]
[ 0.32343099  0.67656901]
[ 0.29494619  0.70505381]
[ 0.16415006  0.83584994]
[ 0.37674164  0.62325836]
[ 0.21063413  0.78936587]
[ 0.31548509  0.68451491]
[ 0.3856792  0.6143208]
[ 0.4195775  0.5804225]
[ 0.0975672  0.9024328]
[ 0.30968338  0.69031662]
[ 0.43970886  0.56029114]
[ 0.27344812  0.72655188]
[ 0.14275806  0.85724194]
[ 0.22591716  0.77408284]
[ 0.48400281  0.51599719]
[ 0.22822018  0.77177982]
[ 0.2276634  0.7723366]
[ 0.15205467  0.84794533]
[ 0.27231952  0.72768048]
[ 0.24226008  0.75773992]
[ 0.34209027  0.65790973]
[ 0.34215509  0.65784491]
[ 0.23569734  0.76430266]
[ 0.27257421  0.72742579]
[ 0.42174878  0.57825122]
[ 0.24755918  0.75244082]
[ 0.43171989  0.56828011]
[ 0.16088713  0.83911287]
[ 0.34491606  0.65508394]
[ 0.15545278  0.84454722]
[ 0.02861742  0.97138258]
[ 0.16471953  0.83528047]
[ 0.21675957  0.78324043]
[ 0.29313871  0.70686129]
[ 0.0623361  0.9376639]
[ 0.11655372  0.88344628]
[ 0.17793973  0.82206027]
[ 0.07471695  0.92528305]
[ 0.20927562  0.79072438]
[ 0.17699845  0.82300155]
[ 0.36920725  0.63079275]
[ 0.46614735  0.53385265]
[ 0.36839261  0.63160739]
[ 0.46014314  0.53985686]
[ 0.19114288  0.80885712]
[ 0.42281536  0.57718464]
[ 0.47027521  0.52972479]
[ 0.24897927  0.75102073]
[ 0.4304213  0.5695787]
[ 0.14015538  0.85984462]
[ 0.43469849  0.56530151]
[ 0.39597373  0.60402627]
